FundingModel,AdmissionRate,ACTMedian,SATAverage,AverageCost,MedianEarnings
Public,0.8449,22,1028,17805,28000
Public,0.8217,22,1029,16397,32300
Public,0.467,22,1024,14603,32800
Private,1,19,909,31005,28000
Private,0.8108,20,952,31021,40300
Private,0.8775,23,1033,36843,41800
Private,0.9615,27,1213,41374,36800
Private,0.7416,22,1007,31769,28800
Public,0.9232,22,1009,16538,30800
Private,0.6597,25,1131,40578,40700
Private,0.3544,19,884,25343,28000
Public,0.4363,18,863,20881,24800
Public,0.6074,20,950,14276,29000
Public,0.7623,26,1162,20422,42800
Public,0.8349,22,1030,15066,32700
Private,0.7423,21,968,22940,37800
Public,0.6744,24,1089,16983,37500
Private,0.8707,25,1143,46676,40500
Public,0.6151,22,1030,14823,33000
Public,0.5036,23,1072,16212,32900
Public,0.8694,22,1030,16071,32500
Public,0.7724,23,1050,14925,33700
Public,0.84,22,1007,16605,30100
Private,0.6615,22,1010,21335,44700
Public,0.448,22,1030,15729,33400
Public,0.359,19,890,17928,28700
Public,0.4888,17,808,10889,26100
Public,0.593,23,1070,15342,34600
Private,0.2643,31,1341,58904,51200
Private,0.5443,23,1048,27550,43200
Private,0.1495,32,1423,58200,48600
Private,0.2604,30,1343,57300,45700
Private,0.7989,19,962,25019,34600
Public,0.6293,23,908,17314,30300
Public,0.854,22,937,17380,23100
Public,0.8106,24,1085,22461,36500
Public,0.6536,22,1026,23673,73500
Private,0.8584,24,1057,47931,44200
Public,0.828,23,1003,22290,35000
Private,0.7244,19,895,33792,33200
Public,0.5176,19,886,18581,42600
Private,0.5903,21,1042,30826,65400
Public,0.5945,20,963,19454,38500
Private,0.8102,22,1030,45230,40000
Private,0.1813,32,1418,58980,64400
Private,0.58,27,1194,56736,56400
Public,0.6315,27,1209,22024,46900
Public,0.5502,18,871,20587,32800
Public,0.5757,18,893,20108,34100
Private,0.6741,20,1060,45896,47100
Private,0.4964,22,1036,41871,45600
Public,0.5494,24,1145,20916,44100
Public,0.7204,28,1221,29174,42900
Public,0.6034,23,1078,21596,45700
Private,0.5959,21,990,38785,45800
Private,0.6655,27,1168,52243,40800
